date,open,high,low,close,volume
2016-07-21 00:00:00+05:30,398.0,423.6,398.0,407.5,5963673
2016-07-22 00:00:00+05:30,410.0,428.0,410.0,425.55,3132538
2016-07-25 00:00:00+05:30,425.0,436.9,418.4,434.0,2340469
2016-07-26 00:00:00+05:30,432.05,441.3,427.4,430.5,3532158
2016-07-27 00:00:00+05:30,430.2,438.95,425.05,431.5,1728892
2016-07-28 00:00:00+05:30,431.4,451.5,430.3,447.2,4048546
2016-07-29 00:00:00+05:30,445.0,452.7,441.3,449.0,1628546
2016-08-01 00:00:00+05:30,448.0,484.0,448.0,473.2,6474412
2016-08-02 00:00:00+05:30,473.7,475.75,453.85,457.15,1613886
2016-08-03 00:00:00+05:30,457.15,463.95,442.7,450.4,1896648
2016-08-04 00:00:00+05:30,453.0,465.35,447.7,461.1,1919766
2016-08-05 00:00:00+05:30,461.35,468.0,457.5,462.1,1041617
2016-08-08 00:00:00+05:30,461.0,470.65,458.8,465.9,1227384
2016-08-09 00:00:00+05:30,463.0,465.95,457.5,461.1,1259169
2016-08-10 00:00:00+05:30,461.1,467.9,456.4,460.75,1433800
2016-08-11 00:00:00+05:30,460.0,470.45,443.6,458.7,1246039
2016-08-12 00:00:00+05:30,460.2,464.3,453.55,458.55,800007
2016-08-16 00:00:00+05:30,454.2,460.4,451.2,457.7,1143660
2016-08-17 00:00:00+05:30,458.7,465.7,454.75,461.75,2231915
2016-08-18 00:00:00+05:30,462.5,486.25,460.95,484.05,3774233
2016-08-19 00:00:00+05:30,488.15,490.9,477.9,481.9,2798534
2016-08-22 00:00:00+05:30,468.0,473.7,456.55,458.85,5025105
2016-08-23 00:00:00+05:30,459.0,466.9,453.1,464.7,1361993
2016-08-24 00:00:00+05:30,469.7,469.7,461.75,463.7,826079
2016-08-25 00:00:00+05:30,464.3,472.0,463.0,467.55,1171073
2016-08-26 00:00:00+05:30,469.0,476.5,465.05,469.65,895389
2016-08-29 00:00:00+05:30,467.65,474.45,464.65,467.1,808224
2016-08-30 00:00:00+05:30,466.25,478.65,466.25,474.4,1000974
2016-08-31 00:00:00+05:30,472.6,483.0,469.45,472.4,1077276
2016-09-01 00:00:00+05:30,472.7,475.45,464.3,466.8,664779
2016-09-02 00:00:00+05:30,464.0,473.9,464.0,470.1,696913
2016-09-06 00:00:00+05:30,470.3,482.0,465.75,480.1,1445827
2016-09-07 00:00:00+05:30,480.9,494.25,479.85,488.85,1018488
2016-09-08 00:00:00+05:30,488.0,498.3,482.25,484.05,909941
2016-09-09 00:00:00+05:30,488.4,488.4,474.0,475.7,813227
2016-09-12 00:00:00+05:30,466.3,467.45,446.3,452.6,849052
2016-09-14 00:00:00+05:30,453.3,485.0,453.3,481.75,1761310
2016-09-15 00:00:00+05:30,481.0,515.25,474.65,508.65,3622448
2016-09-16 00:00:00+05:30,514.85,518.8,487.55,495.45,2882379
2016-09-19 00:00:00+05:30,496.9,501.1,485.1,490.55,1476011
2016-09-20 00:00:00+05:30,489.0,499.0,483.35,487.5,1144561
2016-09-21 00:00:00+05:30,490.8,495.75,480.3,488.65,1137891
2016-09-22 00:00:00+05:30,498.0,510.8,491.75,508.25,1451645
2016-09-23 00:00:00+05:30,506.0,506.95,493.5,496.3,1081488
2016-09-26 00:00:00+05:30,492.9,506.45,489.25,497.05,1656526
2016-09-27 00:00:00+05:30,501.0,509.2,493.2,494.65,2865514
2016-09-28 00:00:00+05:30,498.85,506.95,495.35,503.5,1263764
2016-09-29 00:00:00+05:30,506.0,508.35,469.4,481.15,2643146
2016-09-30 00:00:00+05:30,482.0,511.0,477.0,505.15,1042348
2016-10-03 00:00:00+05:30,514.0,534.0,501.3,531.25,2381563
2016-10-04 00:00:00+05:30,536.0,536.0,516.5,523.9,1075509
2016-10-05 00:00:00+05:30,524.7,532.95,524.7,527.4,764743
2016-10-06 00:00:00+05:30,529.4,539.1,520.1,524.25,1319397
2016-10-07 00:00:00+05:30,526.5,566.95,524.25,562.85,3770810
2016-10-10 00:00:00+05:30,562.0,564.9,551.8,557.55,2342105
2016-10-13 00:00:00+05:30,555.8,555.8,523.7,536.3,2655510
2016-10-14 00:00:00+05:30,538.0,546.9,532.15,541.95,1394236
2016-10-17 00:00:00+05:30,541.5,545.0,521.3,525.25,995047
2016-10-18 00:00:00+05:30,528.0,545.35,526.5,543.3,1708916
2016-10-19 00:00:00+05:30,543.3,546.8,530.7,533.2,1523273
2016-10-20 00:00:00+05:30,535.0,548.9,534.1,537.3,1815730
2016-10-21 00:00:00+05:30,538.95,538.95,526.25,531.8,1067374
2016-10-24 00:00:00+05:30,533.0,540.0,529.15,534.1,1273414
2016-10-25 00:00:00+05:30,536.65,538.0,527.75,532.35,894105
2016-10-26 00:00:00+05:30,531.95,550.5,527.25,539.75,2035099
2016-10-27 00:00:00+05:30,538.0,544.5,529.7,534.8,1536117
2016-10-28 00:00:00+05:30,540.0,555.35,532.7,547.0,1611813
2016-10-30 00:00:00+05:30,550.95,552.4,547.3,549.25,83794
2016-11-01 00:00:00+05:30,550.0,552.05,541.05,543.0,1276384
2016-11-02 00:00:00+05:30,537.0,538.8,523.35,534.4,1167366
2016-11-03 00:00:00+05:30,534.2,541.8,526.3,528.9,929825
2016-11-04 00:00:00+05:30,526.1,534.1,507.1,521.05,1177487
2016-11-07 00:00:00+05:30,525.0,533.55,522.2,528.4,923076
2016-11-08 00:00:00+05:30,529.9,536.15,522.75,525.7,744554
2016-11-09 00:00:00+05:30,505.05,516.5,475.0,504.0,1668045
2016-11-10 00:00:00+05:30,512.4,537.1,511.0,532.65,1609726
2016-11-11 00:00:00+05:30,526.0,532.2,495.2,500.25,1083494
2016-11-15 00:00:00+05:30,503.9,505.3,478.55,488.8,1570574
2016-11-16 00:00:00+05:30,486.1,500.0,482.4,490.9,894790
2016-11-17 00:00:00+05:30,490.1,496.85,476.85,479.45,933386
2016-11-18 00:00:00+05:30,475.0,479.45,456.35,458.85,1625788
2016-11-21 00:00:00+05:30,458.0,458.0,436.35,438.8,2017622
2016-11-22 00:00:00+05:30,446.95,456.4,440.05,451.4,1366608
2016-11-23 00:00:00+05:30,451.4,451.4,440.15,447.6,1569489
2016-11-24 00:00:00+05:30,443.0,456.0,436.8,444.4,1986595
2016-11-25 00:00:00+05:30,450.05,462.85,446.65,459.85,1288564
2016-11-28 00:00:00+05:30,459.85,465.6,456.0,460.7,868048
2016-11-29 00:00:00+05:30,464.7,473.2,460.5,464.75,1207382
2016-11-30 00:00:00+05:30,465.2,476.0,462.2,470.8,1042622
2016-12-01 00:00:00+05:30,467.1,469.95,459.15,461.8,828448
2016-12-02 00:00:00+05:30,455.0,457.4,434.15,436.7,1620218
2016-12-05 00:00:00+05:30,456.0,497.7,450.0,492.6,11644194
2016-12-06 00:00:00+05:30,504.0,505.0,471.65,474.1,9650153
2016-12-07 00:00:00+05:30,479.6,483.0,465.85,470.05,3013800
2016-12-08 00:00:00+05:30,477.0,484.8,473.55,481.2,2189619
2016-12-09 00:00:00+05:30,484.7,525.8,478.0,517.4,9975348
2016-12-12 00:00:00+05:30,510.0,517.65,496.8,499.1,5155723
2016-12-13 00:00:00+05:30,503.95,511.4,492.8,496.9,2897850
2016-12-14 00:00:00+05:30,500.85,508.4,495.2,499.15,2487435
2016-12-15 00:00:00+05:30,499.15,504.8,492.5,495.95,1886137
2016-12-16 00:00:00+05:30,499.6,502.7,492.9,494.3,1490510
2016-12-19 00:00:00+05:30,494.3,494.5,480.3,485.4,1626335
2016-12-20 00:00:00+05:30,486.4,504.0,485.85,492.9,3268083
2016-12-21 00:00:00+05:30,496.0,497.3,485.25,489.25,1352847
2016-12-22 00:00:00+05:30,487.0,492.2,484.0,488.1,1925524
2016-12-23 00:00:00+05:30,486.25,494.4,479.25,489.15,1552722
2016-12-26 00:00:00+05:30,487.0,487.0,469.35,471.45,1035206
2016-12-27 00:00:00+05:30,473.7,483.9,471.25,482.25,2403695
2016-12-28 00:00:00+05:30,480.0,489.9,478.0,479.2,1219602
2016-12-29 00:00:00+05:30,479.15,492.6,474.65,488.9,2266969
2016-12-30 00:00:00+05:30,490.0,498.4,490.0,492.4,1129114
2017-01-02 00:00:00+05:30,493.0,503.7,490.0,501.6,975535
2017-01-03 00:00:00+05:30,501.5,525.9,499.0,523.55,2866014
2017-01-04 00:00:00+05:30,527.5,537.5,522.1,523.9,2823509
2017-01-05 00:00:00+05:30,534.95,535.6,523.2,532.25,3285801
2017-01-06 00:00:00+05:30,535.1,537.8,528.0,532.05,1644288
2017-01-09 00:00:00+05:30,535.5,545.65,529.4,539.15,1740385
2017-01-10 00:00:00+05:30,539.15,542.65,529.9,533.95,1554649
2017-01-11 00:00:00+05:30,534.6,539.5,533.1,536.25,913951
2017-01-12 00:00:00+05:30,539.0,542.2,524.8,539.25,1291545
2017-01-13 00:00:00+05:30,544.0,544.0,528.8,531.1,1191775
2017-01-16 00:00:00+05:30,530.4,534.6,525.0,527.1,1121785
2017-01-17 00:00:00+05:30,526.25,535.0,522.35,525.3,965613
2017-01-18 00:00:00+05:30,527.0,533.2,518.8,526.4,1059881
2017-01-19 00:00:00+05:30,527.0,535.6,524.15,529.85,959478
2017-01-20 00:00:00+05:30,530.5,537.25,516.0,517.8,1686119
2017-01-23 00:00:00+05:30,517.9,524.9,515.05,519.4,881714
2017-01-24 00:00:00+05:30,520.25,526.35,520.25,524.8,928265
2017-01-25 00:00:00+05:30,526.05,540.8,524.2,538.35,2088689
2017-01-27 00:00:00+05:30,535.05,544.0,535.0,537.7,843435
2017-01-30 00:00:00+05:30,539.7,544.45,530.75,533.35,706806
2017-01-31 00:00:00+05:30,534.4,537.6,525.0,529.6,1183197
2017-02-01 00:00:00+05:30,530.0,553.7,525.85,550.4,1107148
2017-02-02 00:00:00+05:30,549.6,559.9,544.0,551.65,1509668
2017-02-03 00:00:00+05:30,606.8,699.9,606.8,683.35,25957860
2017-02-06 00:00:00+05:30,698.8,719.0,682.25,689.25,7073587
2017-02-07 00:00:00+05:30,691.0,699.9,677.3,693.05,3006476
2017-02-08 00:00:00+05:30,698.0,717.55,696.45,704.95,5455376
2017-02-09 00:00:00+05:30,708.55,774.0,707.0,737.65,7885759
2017-02-10 00:00:00+05:30,742.9,744.8,717.7,724.35,3516652
2017-02-13 00:00:00+05:30,718.25,727.95,707.1,712.7,2915711
2017-02-14 00:00:00+05:30,718.8,740.8,700.2,733.25,7005925
2017-02-15 00:00:00+05:30,732.0,733.9,718.2,720.9,1667848
2017-02-16 00:00:00+05:30,716.0,733.2,708.2,723.5,2598251
2017-02-17 00:00:00+05:30,723.2,724.1,700.1,703.0,1839076
2017-02-20 00:00:00+05:30,690.0,713.25,673.05,698.3,5079112
2017-02-21 00:00:00+05:30,694.0,707.9,690.0,702.85,2455514
2017-02-22 00:00:00+05:30,704.9,707.7,692.1,697.15,1865835
2017-02-23 00:00:00+05:30,690.5,708.0,688.8,705.05,1756629
2017-02-27 00:00:00+05:30,705.95,715.5,701.5,708.9,1449244
2017-02-28 00:00:00+05:30,712.8,723.5,708.45,713.2,1620592
2017-03-01 00:00:00+05:30,717.7,726.0,714.15,724.0,930696
2017-03-02 00:00:00+05:30,724.9,728.05,704.4,707.65,1236859
2017-03-03 00:00:00+05:30,702.0,728.95,702.0,726.2,2134131
2017-03-06 00:00:00+05:30,722.0,739.0,720.3,735.9,1528384
2017-03-07 00:00:00+05:30,734.05,745.0,728.95,743.3,1768914
2017-03-08 00:00:00+05:30,742.9,746.3,733.7,738.3,1114606
2017-03-09 00:00:00+05:30,736.0,745.65,721.5,741.9,998097
2017-03-10 00:00:00+05:30,741.55,755.85,736.0,745.6,1753934
2017-03-14 00:00:00+05:30,755.0,758.8,738.65,740.55,910855
2017-03-15 00:00:00+05:30,744.0,755.0,741.0,749.4,969982
2017-03-16 00:00:00+05:30,752.0,768.4,749.3,763.65,1273326
2017-03-17 00:00:00+05:30,764.15,770.0,749.0,751.2,901485
2017-03-20 00:00:00+05:30,751.5,765.0,746.85,760.95,1266945
2017-03-21 00:00:00+05:30,761.45,768.0,748.5,757.4,1034750
2017-03-22 00:00:00+05:30,754.0,754.0,740.1,742.7,778374
2017-03-23 00:00:00+05:30,742.9,753.0,742.7,750.6,547053
2017-03-24 00:00:00+05:30,755.0,760.0,750.2,755.9,594422
2017-03-27 00:00:00+05:30,756.05,763.1,748.45,760.35,777498
2017-03-28 00:00:00+05:30,762.05,785.4,762.05,781.4,2104017
2017-03-29 00:00:00+05:30,782.9,795.9,782.5,789.4,1628004
2017-03-30 00:00:00+05:30,785.0,792.9,781.45,788.25,1282392
2017-03-31 00:00:00+05:30,791.95,797.85,788.0,790.65,628659
2017-04-03 00:00:00+05:30,792.0,798.65,788.0,795.25,618986
2017-04-05 00:00:00+05:30,796.2,802.2,791.6,795.75,1028046
2017-04-06 00:00:00+05:30,794.0,799.65,781.0,786.75,1096960
2017-04-07 00:00:00+05:30,782.6,786.0,771.6,773.6,724581
2017-04-10 00:00:00+05:30,770.0,789.0,768.5,786.25,819867
2017-04-11 00:00:00+05:30,781.0,795.2,781.0,793.5,605561
2017-04-12 00:00:00+05:30,794.9,798.5,781.5,784.6,721069
2017-04-13 00:00:00+05:30,788.2,793.0,777.25,781.75,721651
2017-04-17 00:00:00+05:30,784.95,792.5,780.25,789.2,377102
2017-04-18 00:00:00+05:30,790.45,811.8,789.75,800.65,1561055
2017-04-19 00:00:00+05:30,807.85,848.8,797.05,843.45,4168936
2017-04-20 00:00:00+05:30,861.0,901.75,860.0,897.2,5272933
2017-04-21 00:00:00+05:30,900.0,939.7,900.0,936.75,4930680
2017-04-24 00:00:00+05:30,946.0,946.0,920.3,929.5,1707457
2017-04-25 00:00:00+05:30,928.95,934.5,918.95,926.9,1728513
2017-04-26 00:00:00+05:30,929.0,940.5,914.0,924.35,2204238
2017-04-27 00:00:00+05:30,928.0,929.4,918.05,923.85,1336379
2017-04-28 00:00:00+05:30,924.7,934.0,916.5,921.75,702274
2017-05-02 00:00:00+05:30,924.0,936.0,919.0,923.95,640362
2017-05-03 00:00:00+05:30,919.0,923.65,872.0,880.7,2199508
2017-05-04 00:00:00+05:30,885.0,904.7,874.0,889.9,1224522
2017-05-05 00:00:00+05:30,889.0,889.2,849.3,852.75,1320656
2017-05-08 00:00:00+05:30,855.0,868.2,850.35,856.55,1057509
2017-05-09 00:00:00+05:30,855.9,867.6,853.1,858.9,585202
2017-05-10 00:00:00+05:30,859.9,870.85,854.4,862.5,614581
2017-05-11 00:00:00+05:30,862.55,919.8,862.55,908.2,3057817
2017-05-12 00:00:00+05:30,905.95,905.95,880.0,883.7,1077613
2017-05-15 00:00:00+05:30,885.5,928.0,885.4,912.2,2193488
2017-05-16 00:00:00+05:30,908.2,909.0,890.2,894.7,1110184
2017-05-17 00:00:00+05:30,894.9,899.15,880.5,887.05,500545
2017-05-18 00:00:00+05:30,888.0,917.9,865.2,871.35,2436703
2017-05-19 00:00:00+05:30,877.0,895.1,813.5,852.4,4223048
2017-05-22 00:00:00+05:30,860.0,873.55,834.0,844.85,1969975
2017-05-23 00:00:00+05:30,848.0,849.9,806.55,813.5,1768982
2017-05-24 00:00:00+05:30,819.0,826.95,777.0,783.3,1590566
2017-05-25 00:00:00+05:30,784.8,807.5,777.95,792.55,1615153
2017-05-26 00:00:00+05:30,792.0,814.15,789.0,808.9,1007416
2017-05-29 00:00:00+05:30,799.0,810.85,779.1,781.45,1085310
2017-05-30 00:00:00+05:30,787.2,804.8,768.5,797.8,1140494
2017-05-31 00:00:00+05:30,798.7,829.0,791.55,798.0,3353867
2017-06-01 00:00:00+05:30,802.0,817.95,794.0,803.7,946980
2017-06-02 00:00:00+05:30,807.0,838.85,801.4,834.35,1889892
2017-06-05 00:00:00+05:30,840.0,854.35,834.5,839.95,1607276
2017-06-06 00:00:00+05:30,839.0,841.7,802.35,813.9,1601229
2017-06-07 00:00:00+05:30,818.9,831.95,818.75,825.3,805638
2017-06-08 00:00:00+05:30,830.0,833.7,810.1,818.65,889642
2017-06-09 00:00:00+05:30,817.1,822.4,791.3,795.7,1724424
2017-06-12 00:00:00+05:30,798.0,815.5,790.0,808.6,1435923
2017-06-13 00:00:00+05:30,812.0,819.8,805.0,813.0,845617
2017-06-14 00:00:00+05:30,816.8,831.25,806.0,826.95,1058937
2017-06-15 00:00:00+05:30,826.7,836.35,817.65,824.75,1081690
2017-06-16 00:00:00+05:30,827.0,843.6,823.0,839.0,1352925
2017-06-19 00:00:00+05:30,845.0,865.0,842.7,859.45,1578452
2017-06-20 00:00:00+05:30,862.0,863.75,843.4,845.4,901402
2017-06-21 00:00:00+05:30,845.0,853.9,837.4,848.3,789946
2017-06-22 00:00:00+05:30,849.4,851.5,827.55,832.6,579345
2017-06-23 00:00:00+05:30,833.1,835.9,806.05,809.25,797264
2017-06-27 00:00:00+05:30,810.0,816.0,785.1,792.2,839963
2017-06-28 00:00:00+05:30,792.2,812.4,778.8,808.05,1113431
2017-06-29 00:00:00+05:30,812.0,818.55,802.75,806.8,929631
2017-06-30 00:00:00+05:30,804.8,821.0,794.05,816.4,742834
2017-07-03 00:00:00+05:30,821.8,837.6,819.6,826.5,879044
2017-07-04 00:00:00+05:30,826.5,831.5,812.05,815.5,798634
2017-07-05 00:00:00+05:30,816.5,827.4,816.3,824.95,503279
2017-07-06 00:00:00+05:30,825.0,829.9,818.5,825.5,535313
2017-07-07 00:00:00+05:30,825.0,839.8,819.7,828.0,946311
2017-07-10 00:00:00+05:30,830.0,842.0,827.1,830.0,249393
2017-07-11 00:00:00+05:30,833.0,834.8,816.2,819.05,644855
2017-07-12 00:00:00+05:30,818.0,829.0,814.1,826.4,488691
2017-07-13 00:00:00+05:30,827.0,833.9,819.0,829.2,889313
2017-07-14 00:00:00+05:30,826.5,839.55,821.3,830.95,1150827
2017-07-17 00:00:00+05:30,829.0,838.3,821.8,831.95,855970
2017-07-18 00:00:00+05:30,830.0,845.0,824.05,827.5,1277675
2017-07-19 00:00:00+05:30,829.15,839.7,827.2,836.6,1112241
2017-07-20 00:00:00+05:30,839.5,843.05,822.0,825.75,627323
2017-07-21 00:00:00+05:30,826.0,832.1,783.15,806.3,1702883
2017-07-24 00:00:00+05:30,806.0,816.6,805.0,810.6,721563
2017-07-25 00:00:00+05:30,810.6,819.9,808.95,813.5,731782
2017-07-26 00:00:00+05:30,816.0,818.1,801.15,804.35,437994
2017-07-27 00:00:00+05:30,806.0,814.5,791.55,794.65,512775
2017-07-28 00:00:00+05:30,795.0,804.5,792.15,797.1,453447
2017-07-31 00:00:00+05:30,798.1,804.0,773.65,780.35,690147
2017-08-01 00:00:00+05:30,783.0,797.1,777.6,782.45,1079849
2017-08-02 00:00:00+05:30,785.5,801.6,781.0,798.5,608808
2017-08-03 00:00:00+05:30,798.5,807.45,785.4,796.5,882736
2017-08-04 00:00:00+05:30,801.45,801.45,780.8,786.3,508339
2017-08-07 00:00:00+05:30,780.0,787.7,747.25,754.6,1869755
2017-08-08 00:00:00+05:30,759.2,760.4,722.0,725.6,1470821
2017-08-09 00:00:00+05:30,722.5,729.85,697.0,705.55,1648664
2017-08-10 00:00:00+05:30,697.9,702.35,652.45,680.8,1126577
2017-08-11 00:00:00+05:30,663.0,720.8,663.0,706.9,1691825
2017-08-14 00:00:00+05:30,730.0,757.55,715.7,750.7,2204323
2017-08-16 00:00:00+05:30,751.05,757.9,737.5,748.45,714027
2017-08-17 00:00:00+05:30,758.0,772.2,745.0,752.8,1000983
2017-08-18 00:00:00+05:30,746.95,756.1,736.25,742.4,684046
2017-08-21 00:00:00+05:30,745.1,747.25,711.0,719.25,1144055
2017-08-22 00:00:00+05:30,731.0,731.0,693.0,698.15,2082592
2017-08-23 00:00:00+05:30,696.0,718.2,691.5,714.65,1148207
2017-08-24 00:00:00+05:30,715.0,725.0,708.0,712.45,749708
2017-08-28 00:00:00+05:30,721.0,721.0,709.5,715.5,547833
2017-08-29 00:00:00+05:30,710.5,716.4,698.1,701.4,642314
2017-08-30 00:00:00+05:30,704.9,714.65,699.3,704.15,797134
2017-08-31 00:00:00+05:30,703.0,708.0,692.35,696.45,788332
2017-09-01 00:00:00+05:30,710.3,782.4,710.0,768.3,6404704
2017-09-04 00:00:00+05:30,765.0,812.8,753.3,807.4,5820546
2017-09-05 00:00:00+05:30,820.0,839.0,815.2,826.2,4700287
2017-09-06 00:00:00+05:30,814.25,848.4,813.15,832.55,2312131
2017-09-07 00:00:00+05:30,840.0,846.0,831.1,833.15,1207476
2017-09-08 00:00:00+05:30,840.65,841.15,794.1,806.95,1976105
2017-09-11 00:00:00+05:30,815.9,836.0,813.0,828.4,1234361
2017-09-12 00:00:00+05:30,840.0,840.0,821.8,826.25,792563
2017-09-13 00:00:00+05:30,834.0,834.45,808.2,812.5,786333
2017-09-14 00:00:00+05:30,818.0,840.0,813.9,836.4,1521241
2017-09-15 00:00:00+05:30,830.0,836.0,815.0,824.1,1210009
2017-09-18 00:00:00+05:30,829.0,856.0,826.8,849.7,1820741
2017-09-19 00:00:00+05:30,855.0,865.5,843.15,850.35,1737374
2017-09-20 00:00:00+05:30,852.0,856.0,838.45,841.65,694476
2017-09-21 00:00:00+05:30,842.0,847.65,815.05,829.55,800734
2017-09-22 00:00:00+05:30,831.3,850.9,812.0,819.75,2079777
2017-09-25 00:00:00+05:30,819.45,825.5,773.45,783.45,1638011
2017-09-26 00:00:00+05:30,788.8,790.5,750.8,771.5,2439743
2017-09-27 00:00:00+05:30,780.0,785.7,735.95,743.85,1311763
2017-11-16 00:00:00+05:30,837.5,849.0,832.05,845.55,771052
2017-11-17 00:00:00+05:30,855.0,855.0,839.75,842.55,550164
2017-11-20 00:00:00+05:30,840.5,845.0,827.0,835.6,598348
2017-11-21 00:00:00+05:30,838.55,857.15,836.6,848.85,1288479
2017-11-22 00:00:00+05:30,854.9,878.0,843.1,874.5,2409739
2017-11-23 00:00:00+05:30,883.0,885.9,867.0,879.15,1592211
2017-11-24 00:00:00+05:30,883.0,883.55,872.1,877.35,652002
2017-11-27 00:00:00+05:30,875.0,889.7,866.05,884.1,982950
2017-11-28 00:00:00+05:30,881.8,896.0,876.0,887.35,1395602
2017-11-29 00:00:00+05:30,880.25,893.45,878.3,882.4,590545
2017-11-30 00:00:00+05:30,880.0,881.9,864.0,869.6,634354
2017-12-01 00:00:00+05:30,873.95,888.0,841.6,854.45,1326174
2017-12-04 00:00:00+05:30,854.0,861.7,828.95,851.7,1337118
2017-12-05 00:00:00+05:30,850.0,861.35,838.15,857.8,759829
2017-12-06 00:00:00+05:30,850.0,857.75,838.6,842.25,630614
2017-12-07 00:00:00+05:30,846.8,860.3,826.65,857.6,1196478
2017-12-08 00:00:00+05:30,859.55,906.35,843.0,901.75,1852664
2017-12-11 00:00:00+05:30,907.8,920.0,893.3,906.2,1683039
2017-12-12 00:00:00+05:30,905.2,908.7,886.1,891.55,839961
2017-12-13 00:00:00+05:30,890.0,937.0,886.25,916.25,3924204
2017-12-14 00:00:00+05:30,927.0,929.85,901.2,913.0,1934187
2017-12-15 00:00:00+05:30,930.0,940.75,925.0,934.5,1355024
2017-12-18 00:00:00+05:30,933.05,964.0,898.6,951.25,2142777
2017-12-19 00:00:00+05:30,948.6,961.05,933.3,941.2,2436571
2017-12-20 00:00:00+05:30,941.8,948.9,925.15,936.5,1615208
2017-12-21 00:00:00+05:30,929.2,999.8,924.2,982.9,6615016
2017-12-22 00:00:00+05:30,988.0,1007.9,967.0,999.5,3398360
2017-12-26 00:00:00+05:30,986.4,1018.0,986.4,999.45,2444017
2017-12-27 00:00:00+05:30,1002.0,1017.0,996.0,1005.25,1558799
2017-12-28 00:00:00+05:30,1010.0,1013.85,996.45,999.6,939043
2017-12-29 00:00:00+05:30,999.6,1009.6,983.55,990.15,660611
2018-01-01 00:00:00+05:30,990.15,1007.8,990.15,998.0,743452
2018-01-02 00:00:00+05:30,1001.0,1004.9,983.3,995.2,723049
2018-01-03 00:00:00+05:30,1005.0,1009.75,996.15,1004.7,779309
2018-01-04 00:00:00+05:30,1007.0,1030.0,1005.0,1028.2,1460645
2018-01-05 00:00:00+05:30,1027.25,1045.0,1019.0,1037.95,1065076
2018-01-08 00:00:00+05:30,1038.0,1050.9,1034.15,1044.45,812859
2018-01-09 00:00:00+05:30,1046.0,1053.15,1029.35,1032.75,717350
2018-01-10 00:00:00+05:30,1032.05,1036.45,1017.2,1022.15,829545
2018-01-11 00:00:00+05:30,1025.0,1049.1,1013.8,1043.6,663460
2018-01-12 00:00:00+05:30,1050.0,1079.8,1050.0,1077.1,1978981
2018-01-15 00:00:00+05:30,1082.0,1083.95,1066.1,1073.5,864427
2018-01-16 00:00:00+05:30,1075.0,1097.8,1066.1,1079.15,1403769
2018-01-17 00:00:00+05:30,1077.0,1077.1,1046.4,1058.15,986876
2018-01-18 00:00:00+05:30,1060.0,1090.0,1033.1,1039.0,646908
2018-01-19 00:00:00+05:30,1039.0,1055.95,1014.4,1050.2,1066033
2018-01-22 00:00:00+05:30,1048.0,1056.6,1028.55,1033.65,482950
2018-01-23 00:00:00+05:30,1036.3,1052.6,1032.05,1040.4,547311
2018-01-24 00:00:00+05:30,1043.35,1053.15,1020.65,1033.6,491618
2018-01-25 00:00:00+05:30,1033.6,1049.5,1030.05,1033.7,1019610
2018-01-29 00:00:00+05:30,1039.6,1045.8,1017.95,1021.1,431187
2018-01-30 00:00:00+05:30,1021.1,1032.4,1002.3,1027.55,479265
2018-01-31 00:00:00+05:30,1028.8,1030.0,1015.6,1024.4,491600
2018-02-01 00:00:00+05:30,1028.0,1029.3,976.5,1012.4,651336
2018-02-02 00:00:00+05:30,1005.0,1008.95,935.0,953.15,1040044
2018-02-05 00:00:00+05:30,947.65,967.0,901.45,953.6,822601
2018-02-06 00:00:00+05:30,920.3,948.55,893.55,935.75,1007848
2018-02-07 00:00:00+05:30,936.9,1029.3,924.05,933.1,557855
2018-02-08 00:00:00+05:30,936.0,1013.25,913.25,1006.55,1927256
2018-02-09 00:00:00+05:30,951.35,998.0,951.35,973.55,1086075
2018-02-12 00:00:00+05:30,1000.1,1000.25,971.4,985.1,1436715
2018-02-14 00:00:00+05:30,992.0,1026.9,981.4,998.4,1579126
2018-02-15 00:00:00+05:30,1001.9,1015.5,973.6,979.55,929208
2018-02-16 00:00:00+05:30,983.85,986.9,920.0,925.1,1996290
2018-02-19 00:00:00+05:30,929.0,929.5,871.85,887.8,2692590
2018-02-20 00:00:00+05:30,891.0,922.0,888.45,909.05,1907738
2018-02-21 00:00:00+05:30,918.85,937.9,909.7,932.85,1671516
2018-02-22 00:00:00+05:30,929.25,929.5,903.15,908.3,1563651
2018-02-23 00:00:00+05:30,914.0,931.95,908.85,928.55,852264
2018-02-26 00:00:00+05:30,930.0,956.5,921.0,948.1,1210962
2018-02-27 00:00:00+05:30,950.0,955.9,929.6,950.5,935091
2018-02-28 00:00:00+05:30,938.0,938.0,921.0,927.8,1038261
2018-03-01 00:00:00+05:30,920.0,939.0,904.7,916.65,732700
2018-03-05 00:00:00+05:30,915.0,924.0,908.15,912.25,624119
2018-03-06 00:00:00+05:30,922.0,944.9,916.65,926.8,1701591
2018-03-07 00:00:00+05:30,930.0,930.0,885.0,890.55,1549813
2018-03-08 00:00:00+05:30,896.25,910.0,870.0,898.4,1771894
2018-03-09 00:00:00+05:30,907.0,907.05,872.55,879.3,1641001
2018-03-12 00:00:00+05:30,889.9,900.9,881.3,893.0,1531117
2018-03-13 00:00:00+05:30,889.9,906.0,880.0,900.25,1310159
2018-03-14 00:00:00+05:30,890.6,944.4,890.6,931.6,2102164
2018-03-15 00:00:00+05:30,940.0,948.95,917.1,920.7,1665722
2018-03-16 00:00:00+05:30,921.0,925.3,897.55,903.15,2564212
